,Unnamed: 0,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,target
0,0,31,0,0,400000,6,1,0,0,0
1,1,31,1,0,1250000,7,0,0,0,0
2,2,34,1,0,500000,4,1,0,0,1
3,3,28,1,0,700000,3,1,0,0,0
4,4,28,1,0,700000,8,1,1,0,0
5,5,25,1,1,1150000,4,0,0,0,0
6,6,31,0,0,1300000,4,0,0,0,0
7,7,31,1,0,1350000,3,0,1,1,1
8,8,28,1,0,1450000,6,1,1,1,1
9,9,33,0,0,800000,3,0,1,0,0
10,10,31,0,0,400000,9,1,0,0,0
11,11,26,1,0,1400000,5,0,1,1,1
12,12,32,0,0,850000,6,0,0,0,1
13,13,31,0,0,1500000,6,0,1,1,1
14,14,31,0,0,400000,3,0,0,0,0
15,15,34,1,0,700000,7,0,0,0,0
16,16,28,1,0,1150000,4,1,0,0,0
17,17,28,1,0,800000,7,0,0,0,1
18,18,29,1,0,1050000,5,1,0,0,1
19,19,34,1,0,1500000,2,0,1,1,1
20,20,28,1,0,1150000,6,0,1,0,0
21,21,29,1,0,350000,3,0,0,0,1
22,22,31,1,0,1100000,4,0,0,0,0
23,23,28,0,0,600000,9,0,0,0,1
24,24,31,0,0,1500000,7,0,1,1,0
25,25,35,1,1,800000,4,0,0,1,0
26,26,34,1,1,1300000,6,0,1,0,1
27,27,28,1,0,1250000,2,0,1,0,0
28,28,26,1,0,600000,4,0,1,0,0
29,29,31,1,0,900000,3,0,0,0,0
30,30,30,1,1,550000,6,0,1,1,0
31,31,31,0,1,300000,4,0,0,0,0
32,32,25,0,0,750000,4,0,0,0,1
33,33,32,0,0,850000,3,0,0,0,0
34,34,28,1,0,800000,9,0,0,0,1
35,35,33,1,0,1400000,4,0,1,1,0
36,36,31,0,1,300000,9,1,0,0,0
37,37,34,1,0,700000,4,0,0,0,0
38,38,34,0,0,1100000,2,0,0,0,0
39,39,33,1,0,1500000,5,1,1,1,1
40,40,25,1,0,1400000,3,1,1,1,1
41,41,33,1,0,550000,5,0,0,0,0
42,42,26,1,0,1500000,2,1,1,1,1
43,43,28,1,0,1200000,4,0,1,0,1
44,44,25,1,0,1400000,7,0,0,1,1
45,45,34,1,1,1400000,5,1,0,1,1
46,46,25,1,0,1400000,4,0,0,1,1
47,47,35,0,0,1100000,5,0,0,0,0
48,48,28,1,0,600000,3,0,0,0,0
49,49,31,1,0,1350000,3,0,0,1,1
50,50,31,1,0,1250000,3,1,0,0,0
51,51,29,1,0,1050000,3,0,0,0,0
52,52,31,1,0,1250000,4,0,0,1,0
53,53,28,0,0,300000,2,0,0,0,0
54,54,29,1,0,1200000,7,0,0,0,0
55,55,26,1,0,750000,5,0,0,0,0
56,56,28,1,0,550000,3,0,0,0,1
57,57,34,1,0,1000000,6,0,0,0,1
58,58,33,1,0,1400000,6,0,1,1,1
59,59,33,1,0,1400000,9,0,1,1,1
60,60,31,1,0,1250000,4,0,1,1,0
61,61,32,0,0,800000,3,0,1,0,1
62,62,28,1,0,800000,4,0,1,0,0
63,63,27,0,0,500000,2,0,0,0,0
64,64,30,1,1,1450000,9,0,1,1,1
65,65,26,1,0,600000,5,1,0,0,0
66,66,30,1,1,800000,6,0,1,0,0
67,67,34,1,0,1500000,3,0,1,1,1
68,68,29,1,0,350000,4,0,0,0,0
69,69,31,0,1,300000,4,0,0,0,0
70,70,34,0,0,1300000,4,0,0,0,0
71,71,28,1,0,750000,6,0,1,0,0
72,72,28,1,0,800000,6,1,1,0,0
73,73,28,1,0,750000,7,0,1,0,0
74,74,28,1,0,700000,4,1,0,0,0
75,75,34,1,0,1300000,5,0,0,0,0
76,76,29,1,0,1200000,3,0,0,0,1
77,77,31,0,1,400000,4,0,0,0,0
78,78,31,0,0,1300000,3,0,0,1,1
79,79,31,0,1,400000,5,1,0,0,0
80,80,26,1,0,1300000,4,1,0,0,0
81,81,25,1,1,1150000,8,0,0,0,0
82,82,28,1,0,1250000,4,1,0,0,0
83,83,34,1,1,950000,4,0,1,0,1
84,84,32,0,0,350000,6,1,0,0,0
85,85,25,1,1,1700000,4,0,1,0,1
86,86,32,0,0,900000,4,0,0,0,0
87,87,28,0,0,300000,6,0,0,0,0
88,88,34,1,0,1050000,5,1,0,0,0
89,89,28,0,0,300000,8,0,0,0,0
90,90,27,0,0,1050000,3,0,0,0,0
91,91,28,0,0,300000,4,1,0,0,0
92,92,28,1,0,1150000,5,0,0,0,0
93,93,33,0,0,700000,7,0,1,0,1
94,94,34,1,0,1300000,4,0,0,0,0
95,95,26,1,0,1400000,5,0,0,1,1
96,96,28,1,0,700000,4,0,0,0,0
97,97,29,1,0,350000,7,0,0,0,0
98,98,29,1,0,1100000,6,0,0,0,0
99,99,29,0,0,600000,3,0,0,0,0
100,100,28,1,0,1300000,6,1,0,0,1
101,101,33,1,0,1500000,3,1,1,1,1
102,102,29,1,0,500000,3,1,0,0,0
103,103,26,1,0,1400000,5,0,0,1,1
104,104,28,1,0,1150000,3,0,0,0,0
105,105,28,1,0,750000,3,0,0,0,0
106,106,34,1,0,1300000,3,0,0,0,0
107,107,34,1,0,850000,3,1,0,1,0
108,108,26,1,0,1300000,4,0,0,0,1
109,109,25,1,0,1700000,3,0,1,0,1
110,110,31,0,0,400000,5,0,0,0,0
111,111,28,1,0,800000,5,0,0,0,0
112,112,30,1,1,800000,4,0,0,0,0
113,113,29,1,0,900000,4,0,1,0,0
114,114,29,1,0,500000,5,0,0,0,0
115,115,29,1,0,900000,4,0,0,0,0
116,116,28,1,0,1150000,5,0,0,0,1
117,117,31,0,0,400000,5,0,0,0,0
118,118,31,0,0,1500000,4,1,1,1,1
119,119,31,1,0,500000,4,0,0,0,0
120,120,28,1,0,800000,3,1,0,0,0
121,121,26,1,0,1400000,6,0,0,1,1
122,122,32,0,0,800000,6,1,0,0,0
123,123,27,0,0,850000,3,0,0,0,0
124,124,32,0,0,350000,4,1,0,0,0
125,125,29,1,0,500000,3,1,0,0,1
126,126,32,0,0,800000,5,0,1,0,0
127,127,27,0,0,750000,5,0,0,0,0
128,128,31,1,0,1350000,8,0,0,1,1
129,129,29,1,0,1050000,6,0,0,0,0
130,130,28,1,0,800000,4,0,0,0,0
131,131,28,1,0,750000,4,0,0,0,0
132,132,28,1,0,1100000,4,0,0,0,0
133,133,25,1,0,1750000,4,0,0,1,1
134,134,28,1,0,600000,5,0,1,0,0
135,135,28,1,0,800000,6,0,0,1,1
136,136,29,1,0,500000,6,0,0,0,1
137,137,29,1,0,600000,4,1,1,0,0
138,138,28,1,0,1150000,4,0,0,0,0
139,139,35,1,1,800000,7,1,0,0,1
140,140,28,1,0,550000,4,1,0,0,0
141,141,25,1,0,1400000,3,0,0,1,0
142,142,32,0,0,350000,9,1,0,0,0
143,143,26,1,0,1300000,4,0,0,0,0
144,144,31,1,0,1250000,4,0,0,0,0
145,145,28,1,0,1150000,6,0,0,0,0
