,chromogram_0_0,chromogram_0_1,chromogram_0_10,chromogram_0_11,chromogram_0_12,chromogram_0_2,chromogram_0_3,chromogram_0_4,chromogram_0_5,chromogram_0_6,chromogram_0_7,chromogram_0_8,chromogram_0_9,chromogram_10_0,chromogram_10_1,chromogram_10_10,chromogram_10_11,chromogram_10_12,chromogram_10_2,chromogram_10_3,chromogram_10_4,chromogram_10_5,chromogram_10_6,chromogram_10_7,chromogram_10_8,chromogram_10_9,chromogram_11_0,chromogram_11_1,chromogram_11_10,chromogram_11_11,chromogram_11_12,chromogram_11_2,chromogram_11_3,chromogram_11_4,chromogram_11_5,chromogram_11_6,chromogram_11_7,chromogram_11_8,chromogram_11_9,chromogram_1_0,chromogram_1_1,chromogram_1_10,chromogram_1_11,chromogram_1_12,chromogram_1_2,chromogram_1_3,chromogram_1_4,chromogram_1_5,chromogram_1_6,chromogram_1_7,chromogram_1_8,chromogram_1_9,chromogram_2_0,chromogram_2_1,chromogram_2_10,chromogram_2_11,chromogram_2_12,chromogram_2_2,chromogram_2_3,chromogram_2_4,chromogram_2_5,chromogram_2_6,chromogram_2_7,chromogram_2_8,chromogram_2_9,chromogram_3_0,chromogram_3_1,chromogram_3_10,chromogram_3_11,chromogram_3_12,chromogram_3_2,chromogram_3_3,chromogram_3_4,chromogram_3_5,chromogram_3_6,chromogram_3_7,chromogram_3_8,chromogram_3_9,chromogram_4_0,chromogram_4_1,chromogram_4_10,chromogram_4_11,chromogram_4_12,chromogram_4_2,chromogram_4_3,chromogram_4_4,chromogram_4_5,chromogram_4_6,chromogram_4_7,chromogram_4_8,chromogram_4_9,chromogram_5_0,chromogram_5_1,chromogram_5_10,chromogram_5_11,chromogram_5_12,chromogram_5_2,chromogram_5_3,chromogram_5_4,chromogram_5_5,chromogram_5_6,chromogram_5_7,chromogram_5_8,chromogram_5_9,chromogram_6_0,chromogram_6_1,chromogram_6_10,chromogram_6_11,chromogram_6_12,chromogram_6_2,chromogram_6_3,chromogram_6_4,chromogram_6_5,chromogram_6_6,chromogram_6_7,chromogram_6_8,chromogram_6_9,chromogram_7_0,chromogram_7_1,chromogram_7_10,chromogram_7_11,chromogram_7_12,chromogram_7_2,chromogram_7_3,chromogram_7_4,chromogram_7_5,chromogram_7_6,chromogram_7_7,chromogram_7_8,chromogram_7_9,chromogram_8_0,chromogram_8_1,chromogram_8_10,chromogram_8_11,chromogram_8_12,chromogram_8_2,chromogram_8_3,chromogram_8_4,chromogram_8_5,chromogram_8_6,chromogram_8_7,chromogram_8_8,chromogram_8_9,chromogram_9_0,chromogram_9_1,chromogram_9_10,chromogram_9_11,chromogram_9_12,chromogram_9_2,chromogram_9_3,chromogram_9_4,chromogram_9_5,chromogram_9_6,chromogram_9_7,chromogram_9_8,chromogram_9_9,spec_centr_0,spec_centr_1,spec_centr_10,spec_centr_11,spec_centr_12,spec_centr_2,spec_centr_3,spec_centr_4,spec_centr_5,spec_centr_6,spec_centr_7,spec_centr_8,spec_centr_9,target
0,0.9979436623,0.8323922108,0.7653861626,0.7042746413,0.6557240885,0.3310640916,0.9275237711,0.3076005712,0.492225767,0.1674797844,0.570315605,0.3842745867,0.460739146,0.4058584093,0.5087245385,0.3775873476,0.4215288436,0.5551808586,0.1674640133,0.2294698088,0.1151282325,0.8637847157,0.2567743094,0.204659707,0.2050494929,0.2368848606,1.0,1.0,0.7689396008,0.8557630997,1.0,0.2817075207,0.6769770762,0.2463021759,1.0,0.2251822071,0.4212010458,0.38488669,0.4591711062,0.6024916161,0.5051827772,0.7806226648,0.9591837662,0.7078443953,0.5812179372,1.0,0.2452475219,0.3324167285,0.17671246,0.5506993089,0.3503353878,0.4938973657,0.2956502041,0.3054575822,0.9866698051,1.0,0.5475783406,0.7763855749,0.8629090707,0.139677039,0.2435746769,0.2571959401,0.5440605338,0.3451979321,0.6950695735,0.147904788,0.2379875454,1.0,0.8650088879,0.3786559934,0.5796628244,0.505794973,0.07008352907,0.4618741433,0.5964468377,0.7067726784,0.3513867194,0.7389932802,0.09475031695,0.3464476805,0.6484255851,0.5109147295,0.2059021855,0.5792297071,0.3512075317,0.04167300543,0.8048709045,0.9540113268,0.8857393148,0.3521004041,0.4931173326,0.09750803138,0.5882904465,0.4082263487,0.2731424721,0.09046319511,0.8987244996,0.4709208035,0.1480258189,0.8154599843,1.0,0.9374666508,0.461728942,0.3974521846,0.0671618538,0.504282503,0.2223970954,0.1530171645,0.03725747107,1.0,0.7150266228,0.8476261542,0.7592053964,0.8709969207,1.0,0.4781778005,0.3250544851,0.0305702853,0.2423676261,0.2025613142,0.178668967,0.02778793522,0.6542688047,0.673527822,1.0,0.5744700211,0.509623462,0.5778359869,0.8344102069,0.7496277721,0.02566307339,0.09788148646,0.3995114777,0.4341862417,0.07151526836,0.2249058838,0.2108573877,0.2114349957,0.2506974134,0.4246069015,0.2591470329,1.0,1.0,0.06688741717,0.1477487066,0.2625669807,0.3097030989,0.1587321301,0.1180336176,0.07500451666,0.05069532066,0.4554648239,0.6009627761,0.254862925,0.2350057174,0.2356393,2439.940409,2618.082983,2585.327414,2624.325873,2507.041444,2730.515996,2609.940118,2703.391485,2676.400501,2818.37597,2706.119792,2740.820762,2684.624946,0
1,0.9962548859,0.839119599,0.7604167905,0.7051417651,0.6629897709,0.3298590032,0.924461199,0.300950636,0.4936787242,0.167647024,0.5717750583,0.378023427,0.4598685198,0.3881836886,0.4966547869,0.3666617558,0.4165968047,0.5556993118,0.1652870985,0.2233996556,0.1118352836,0.8462431274,0.2575169458,0.2033913119,0.1978917831,0.2311888191,1.0,1.0,0.7579232246,0.8536383373,1.0,0.2799445491,0.6681025554,0.2401822923,1.0,0.2247961088,0.4187808859,0.3759443438,0.4552474783,0.6087550609,0.5119812563,0.7731284267,0.9564549961,0.7126856357,0.5753796776,1.0,0.2423771041,0.3322100609,0.1763269979,0.5506640334,0.3432036322,0.4892479482,0.31056786,0.3159128671,0.9804514527,1.0,0.551496501,0.7762425672,0.86368259,0.1382715441,0.2410261915,0.2532846779,0.5408173775,0.3386880026,0.6911916404,0.1466662256,0.2394187039,1.0,0.8702062479,0.3832785352,0.5829781644,0.5098329426,0.06984399769,0.4526680353,0.5863714326,0.6977796441,0.3458429803,0.7392329619,0.09553938686,0.3462554562,0.6534851261,0.5178022245,0.2092050551,0.5739897465,0.3486622579,0.04114022107,0.7969520995,0.9474219728,0.880366403,0.3445087091,0.4946546542,0.09861006342,0.5924332848,0.4099501158,0.2760662324,0.09177851972,0.8916369757,0.4650992111,0.1405238908,0.8154521906,1.0,0.9314753298,0.4514681227,0.3956420219,0.06918413402,0.5162254254,0.2243460886,0.1540426679,0.0386179063,1.0,0.7082422169,0.817289548,0.7475228765,0.8758185608,1.0,0.4697483168,0.3216818729,0.03096623651,0.2509138863,0.1997479472,0.1758845561,0.02728781005,0.6641684354,0.6833144509,1.0,0.5755092887,0.5184681029,0.5867596458,0.8101767234,0.7264005466,0.02506487344,0.1001366389,0.396697132,0.4296113744,0.06998723006,0.2298554164,0.2175176943,0.2171881503,0.2482682751,0.4170231787,0.2592237262,1.0,1.0,0.06377708456,0.145189313,0.2659099141,0.3149901003,0.1584171105,0.1175713314,0.07472027235,0.050129239,0.4500143956,0.6043980176,0.2550505873,0.2406049416,0.2421425506,2447.41988,2622.258158,2585.928421,2620.109842,2490.339399,2730.212864,2609.668564,2703.721292,2676.695013,2818.554958,2705.497472,2741.509333,2683.727859,0
2,0.9708101561,0.8235396949,0.7595081044,0.7090578837,0.6597503664,0.336232676,0.9330346758,0.3015013723,0.4912634615,0.1681412007,0.5800048582,0.3705444057,0.4772546899,0.3988135271,0.5074514182,0.3741435404,0.4268259665,0.5652675024,0.1669641922,0.2297505387,0.1173228254,0.8660762794,0.2509927227,0.208186526,0.1992179343,0.2449748124,1.0,1.0,0.7623983047,0.8611225518,1.0,0.2840437312,0.6799508082,0.2454287383,1.0,0.2203755158,0.4300861645,0.3725261552,0.4758566189,0.593367248,0.5068678234,0.7796245407,0.9653305145,0.7116288001,0.5886637773,1.0,0.2396643943,0.3319324972,0.1786625354,0.5584804015,0.3397192008,0.5086466358,0.2987597945,0.3148219322,0.9866485666,1.0,0.544019289,0.7836201343,0.8565524526,0.1364360067,0.244943168,0.2597324367,0.5491255971,0.3389659766,0.7124781152,0.1427977267,0.2428132977,1.0,0.8624591319,0.3758579841,0.5831454474,0.5001321326,0.06891926746,0.4695953277,0.5977034833,0.7087747729,0.3464977002,0.7557884234,0.09450112278,0.3546499066,0.6485484838,0.5062635103,0.1980577171,0.5797114576,0.344965755,0.04212646255,0.819279153,0.9527614676,0.8859957201,0.3448473748,0.5028321864,0.09865084658,0.6020868616,0.4077947491,0.2714711722,0.09082756873,0.8975762245,0.4621900534,0.1493513009,0.8263372469,1.0,0.937833017,0.4524361153,0.4023381208,0.06848841349,0.5192493241,0.2224189187,0.151359478,0.03654823261,1.0,0.7137578866,0.8498870117,0.7488762614,0.8770422047,1.0,0.4686537891,0.3265235556,0.03132985612,0.2517282622,0.2029191968,0.1773843598,0.02815185714,0.6554042589,0.6797436685,1.0,0.5597291833,0.5135439987,0.5787390487,0.8303274993,0.7493196368,0.02454570694,0.1007611791,0.4035660554,0.4302353708,0.06976236782,0.2252078204,0.2117042017,0.2107563879,0.2542076405,0.4237041565,0.2592989101,1.0,1.0,0.06667489855,0.1496456898,0.2650105333,0.3084191483,0.158669898,0.117275496,0.07474415519,0.05132109095,0.4657298367,0.5968138127,0.2519174849,0.2334729268,0.2374920583,2437.991801,2620.895333,2587.440124,2619.813363,2497.486714,2729.438087,2609.010529,2704.515718,2677.465965,2818.971388,2703.952638,2743.21396,2681.482884,0
3,1.0,0.8555583934,0.7520380093,0.7109769362,0.6645785019,0.3345636075,0.9280261523,0.2920124429,0.4935568693,0.1684495655,0.5823342965,0.361732549,0.4760701564,0.3837247096,0.499558574,0.3581463508,0.4125450806,0.5404921793,0.1637657012,0.2206176297,0.1124848588,0.8400507829,0.2524264566,0.2061261399,0.1889566652,0.2362865695,0.9693698682,1.0,0.7461385438,0.8614988236,1.0,0.2814869661,0.6663610766,0.2367770261,1.0,0.2198028255,0.4263640626,0.3597476194,0.46992865,0.6045836091,0.5238077581,0.7684059225,0.9608630139,0.7108182311,0.580114899,1.0,0.2355832896,0.3316376588,0.1781592392,0.5586181944,0.3295619813,0.5017118424,0.293662395,0.3237225806,0.977288055,1.0,0.5444527059,0.7835616519,0.8575773518,0.1344738628,0.2410769595,0.2539995155,0.5443470032,0.329609406,0.706856824,0.1450463834,0.2495451563,1.0,0.8687177275,0.3749901146,0.5883226292,0.50597817,0.068579894,0.4556078733,0.5828185611,0.6953745398,0.3387131129,0.7565210029,0.09784311519,0.3593328083,0.6562308506,0.5167322251,0.2011841307,0.5720835311,0.3411716129,0.04136446892,0.8072366988,0.9431588864,0.8779039229,0.3341199546,0.50561377,0.09972776968,0.6150653123,0.4104021068,0.2770906004,0.09539224065,0.8871200485,0.4533795759,0.1382778341,0.8268112168,1.0,0.9288260795,0.4376808228,0.3998659578,0.07086460157,0.5433896563,0.2253554992,0.1520898647,0.03587801431,1.0,0.7030349298,0.804720112,0.7328104742,0.8843486145,1.0,0.4565687102,0.3217790087,0.03223793369,0.2682259145,0.1988168127,0.1735332159,0.0276718955,0.67033749,0.6943637383,1.0,0.5614003325,0.5270927062,0.5921182078,0.7943751323,0.7149369128,0.02479114861,0.1060043875,0.3991992559,0.4232319491,0.06684928127,0.232763525,0.2218592526,0.2194516079,0.2502516516,0.4126489187,0.2597770994,1.0,1.0,0.06155900433,0.1472954072,0.2703469016,0.3158713147,0.1557737099,0.1166621592,0.07434144776,0.05047185411,0.4578085101,0.6020079182,0.2521389227,0.2421906136,0.2473534908,2444.16302,2621.855123,2588.352879,2622.729606,2503.217602,2728.961249,2608.631818,2704.971676,2677.953716,2819.200288,2703.033515,2744.224849,2680.13357,0
4,1.0,0.8843045236,0.7418845323,0.7147752078,0.6724648533,0.3290722103,0.9128039905,0.2790935404,0.5011999159,0.1690080866,0.5809087211,0.3557371311,0.463489123,0.3500004511,0.4745002765,0.331949222,0.3892342586,0.5037273181,0.15825202,0.2035367178,0.1026086713,0.7897288515,0.2610467509,0.1999915371,0.1738692531,0.2162528292,0.9484923892,1.0,0.7202838987,0.8583409655,1.0,0.2754279606,0.6386604912,0.2222860501,1.0,0.2219064254,0.4118770655,0.3436085987,0.4489250216,0.6349904421,0.5500730943,0.7476879362,0.9493308586,0.7077218081,0.5601173412,1.0,0.2324275057,0.3320073291,0.1762669653,0.5565132672,0.3194819407,0.4788390066,0.3228398274,0.3474731928,0.958918746,1.0,0.5460188087,0.7796680571,0.8649108514,0.1336428849,0.2339645946,0.2419146533,0.5326523558,0.3168044294,0.6853434043,0.1517812285,0.2558748363,1.0,0.8832943965,0.3796303952,0.597119763,0.5208733198,0.06898440786,0.4246045465,0.5532484603,0.6685288028,0.3279543569,0.7489773401,0.0973102067,0.3545647663,0.6728750768,0.5410886216,0.2118487906,0.5583131053,0.33824895,0.03993915561,0.7747005948,0.9248697268,0.8615540353,0.3201648584,0.5078666891,0.1012592765,0.6205330901,0.4161416427,0.2883596968,0.1002823774,0.8680646994,0.4420350745,0.1185295456,0.8211433109,1.0,0.9108825062,0.4163664905,0.39282644,0.07483044416,0.5728821059,0.2318974232,0.155903539,0.03740708082,1.0,0.6807574982,0.7207254521,0.7106532533,0.8949133836,1.0,0.4423205525,0.3141800527,0.03397295188,0.2916121861,0.19147047,0.1678059065,0.02729286743,0.6998746153,0.7159406877,1.0,0.5745384224,0.5525268487,0.6189753784,0.7320046519,0.652912778,0.0254762352,0.1134099125,0.3865634835,0.4106008577,0.06301341391,0.2490423586,0.2423552478,0.2392603141,0.2421733004,0.3931186871,0.2618446419,1.0,1.0,0.05463867975,0.1407377806,0.2808541106,0.329773564,0.1421050491,0.1165596447,0.07430989406,0.04906248839,0.4362383238,0.6133835117,0.2542811352,0.2636679383,0.2694009202,2443.143484,2623.670294,2588.658007,2627.490345,2523.364512,2728.800252,2608.508516,2705.120155,2678.118949,2819.273155,2702.728487,2744.559785,2679.68339,0
5,0.971867874,0.8243117122,0.7552938607,0.714481322,0.6594728846,0.3401022731,0.9369649036,0.2973533823,0.4905879477,0.1687300613,0.5869835431,0.3611235421,0.4894649743,0.4048139711,0.5114440497,0.3716757672,0.4278735168,0.5581378937,0.1666865969,0.229952126,0.1190325364,0.8677403013,0.2469749873,0.2107646819,0.1951927752,0.2509683715,1.0,1.0,0.7577216188,0.8691878827,1.0,0.285896404,0.6820562326,0.2450440738,1.0,0.2171120741,0.4365208871,0.3640112852,0.4882097596,0.5959328614,0.5113492308,0.7789580094,0.9701430578,0.7060464825,0.5940896251,1.0,0.235853953,0.3316043842,0.1801392239,0.5640700002,0.332484737,0.5195310564,0.2978111324,0.3205201754,0.9866631995,1.0,0.5331761198,0.7888192687,0.8520286146,0.1342377147,0.2459619493,0.2615930855,0.552748579,0.3348216167,0.725299017,0.1439332697,0.2488138813,1.0,0.8605641481,0.3671299997,0.585642462,0.4961114187,0.0681648416,0.4752206103,0.5986293359,0.7101937989,0.3433247631,0.768157857,0.09510725707,0.3620732085,0.64861656,0.5062294768,0.1976934939,0.580068018,0.3405416189,0.04252499434,0.8297557688,0.9518955386,0.8861790107,0.3400131217,0.510009468,0.1005492535,0.6150274295,0.4074695119,0.2710880002,0.09149877948,0.8967757217,0.4560475468,0.1503642267,0.8343731912,1.0,0.9381247725,0.4461392312,0.4059832331,0.07006585625,0.5324916288,0.2224381151,0.1500014352,0.03433397927,1.0,0.7131714271,0.8515223169,0.7420791706,0.8813106166,1.0,0.462187109,0.327646449,0.03184608293,0.2597130776,0.2032561679,0.1767123329,0.02809558344,0.6562121276,0.6845322431,1.0,0.5497599707,0.5163028466,0.5794731816,0.8275562201,0.7491016907,0.02546374835,0.1039475719,0.4065631024,0.4280715294,0.06828916311,0.2254250442,0.2123892735,0.2102802641,0.2569399557,0.4230142517,0.259570671,1.0,1.0,0.06588066632,0.1510167041,0.2667580652,0.3081080373,0.157450114,0.1167485592,0.07457711634,0.05180430923,0.4732719281,0.5938136425,0.2498748918,0.2324173826,0.2388733428,2436.973749,2624.006236,2588.963534,2621.023266,2501.054727,2728.638207,2608.386759,2705.266886,2678.285429,2819.344329,2702.424128,2744.893685,2679.232991,0
6,1.0,0.8354993616,0.7519171581,0.7173619929,0.6607740807,0.3433037056,0.9401052655,0.2941595541,0.4900539884,0.1692705067,0.5926003481,0.353812904,0.499487675,0.4100963567,0.5152008477,0.3696993566,0.4295721624,0.5592779923,0.166511361,0.2301139961,0.1204867921,0.8690885402,0.2438276519,0.2128624302,0.1920550878,0.2558955112,0.9984983786,1.0,0.7539827245,0.8726769463,1.0,0.2874873114,0.6837293087,0.2448805853,1.0,0.2146025779,0.4417211786,0.357383794,0.4983599492,0.6072399297,0.5186947861,0.7784546547,0.97197957,0.7027983613,0.5984945057,1.0,0.2329107576,0.3313520793,0.1813703728,0.5685598759,0.3269005814,0.5284538601,0.2937608501,0.3240986006,0.9866933834,1.0,0.530227079,0.7929975066,0.8484198756,0.1325476173,0.2468022891,0.2631105817,0.5556491589,0.3316847538,0.7357943317,0.141527447,0.2529939209,1.0,0.859775493,0.3668741447,0.5876456543,0.4929095905,0.06760745807,0.4797894208,0.5993869212,0.7113213847,0.3409710636,0.7782840953,0.0968121898,0.3696208561,0.6486589835,0.5063184245,0.2002111285,0.5803604798,0.3370230967,0.04288954876,0.8382525375,0.9512191157,0.8863246831,0.3363453045,0.5158987044,0.1036384396,0.6283131594,0.407198897,0.2691044214,0.08850371807,0.8961466702,0.4511904967,0.1512149477,0.840966161,1.0,0.9383758671,0.4412979123,0.4089951612,0.07162699237,0.545221993,0.2224549256,0.150297692,0.03718077404,1.0,0.7128981796,0.8528428445,0.7369895951,0.8846948852,1.0,0.457206716,0.3285900507,0.03243582941,0.2672372891,0.20357136,0.1769069309,0.03056192261,0.6568570995,0.6885767482,1.0,0.5421169243,0.5184845046,0.580116815,0.8254223283,0.7489282264,0.02487504565,0.1063855295,0.4090157267,0.4264909948,0.069186048,0.2255999217,0.212986311,0.2099044759,0.2592612188,0.4224358492,0.2598905909,1.0,1.0,0.06642045608,0.1530022225,0.2681561196,0.3095642028,0.1631090998,0.1163356595,0.07445484161,0.05221298274,0.4794337294,0.591392572,0.2482784818,0.2315956549,0.2400143868,2449.135226,2623.489651,2590.189484,2616.923359,2490.433003,2727.979418,2607.915576,2705.835773,2678.963722,2819.611821,2701.213537,2746.21864,2677.429531,0
7,0.9789298559,0.8272167185,0.7510726317,0.7184008627,0.6580992717,0.3441187049,0.9408897634,0.2933783662,0.4899213186,0.1694151894,0.5940091683,0.3520161122,0.5020292572,0.4100194066,0.5149869898,0.3692051667,0.4293101686,0.554442805,0.1664739841,0.2301545247,0.1208624758,0.8694279886,0.2430500528,0.2133917278,0.1912819631,0.2571459429,1.0,1.0,0.75304878,0.8756622956,1.0,0.2879000163,0.6841459729,0.2448598156,1.0,0.2139891883,0.4430284627,0.3557521681,0.5009352338,0.5985935999,0.5159040373,0.7783331742,0.9722274999,0.6971583325,0.5996046405,1.0,0.2321894637,0.3312903966,0.1816850341,0.5696848126,0.3255323055,0.5307149531,0.2992541114,0.3273836769,0.9867036354,1.0,0.526337313,0.7940447151,0.8475191307,0.1321344826,0.2470159288,0.2634939416,0.5563745503,0.3309248905,0.7384518952,0.1458080403,0.2555771826,1.0,0.8608137542,0.3677806313,0.5881472222,0.4921112011,0.06747451661,0.4809413394,0.5995786091,0.7116021442,0.3404077017,0.7808483193,0.09668428249,0.3701992319,0.6486678976,0.5065959359,0.2002915643,0.5804345531,0.3361463564,0.04298713046,0.8403930882,0.9510522363,0.8863608582,0.3354553564,0.5173918828,0.1028361633,0.6289658035,0.4071297796,0.2686655869,0.08746632739,0.8959908871,0.4499841688,0.151433305,0.8426375455,1.0,0.9384410463,0.4401140922,0.4097617144,0.07155118357,0.5464048309,0.2224592685,0.1502728375,0.03724832073,1.0,0.7128574233,0.8531747091,0.7357655346,0.885536611,1.0,0.455987656,0.3288323581,0.03245275505,0.268157372,0.2036562164,0.1763671138,0.02954246425,0.6570182043,0.6896179347,1.0,0.5402519733,0.5190263073,0.5802858174,0.8249000516,0.748884952,0.02521579228,0.1068834137,0.4096360386,0.4256769066,0.06775600921,0.2256438115,0.2131424434,0.2098112415,0.2598603824,0.4222875761,0.2599852133,1.0,1.0,0.06574917808,0.1528193646,0.2685055166,0.3089774953,0.1607926659,0.1162336264,0.07442584777,0.05231825489,0.4809921704,0.5907844104,0.2478846755,0.2313933061,0.2403047656,2445.83449,2625.489985,2590.496862,2620.19333,2508.467046,2727.812025,2607.801874,2705.97343,2679.136366,2819.674415,2700.912614,2746.547139,2676.978173,0
8,1.0,0.8953397202,0.733409813,0.722747413,0.6736049647,0.3328396254,0.912006682,0.2706706295,0.5035508997,0.1700638589,0.5900601981,0.3423818049,0.4759741205,0.331035904,0.4645472576,0.3215353062,0.3851148923,0.4903288711,0.1561907029,0.198207478,0.1018068415,0.776515939,0.2596117845,0.2008868313,0.1648259616,0.2173227816,0.9406748748,1.0,0.7066326057,0.8666241333,1.0,0.2760238758,0.6318109335,0.2183584315,1.0,0.2180448154,0.415053314,0.3283610265,0.4583108585,0.6058575748,0.5476867856,0.7401228374,0.9484963932,0.6937182328,0.5614908384,1.0,0.2268143553,0.3318141572,0.1778546611,0.5643645667,0.3078172004,0.485706038,0.3172424566,0.3576393357,0.9529082526,1.0,0.5363600351,0.7861199171,0.8615021263,0.1308045781,0.2330082129,0.2409004796,0.5342961543,0.3080456165,0.6955050092,0.1551965781,0.2663076864,1.0,0.8875878097,0.3807820178,0.6042428878,0.5199426024,0.06811335579,0.4214513616,0.5454492337,0.6621103382,0.3214215192,0.7640166056,0.09984095456,0.36196317,0.6790333034,0.5492737962,0.2180520322,0.5550438602,0.3315119471,0.04005915258,0.7774303027,0.9184913526,0.856466988,0.3108740549,0.5199643207,0.103451853,0.6362532244,0.4178417974,0.2882067285,0.09501701611,0.8612926642,0.429926824,0.114031627,0.8311773636,1.0,0.9053179925,0.4025470549,0.3961809676,0.0765793851,0.5979093336,0.2342158018,0.1569554083,0.04006178144,1.0,0.6706287572,0.6968161225,0.6982790714,0.9043872265,1.0,0.4304094576,0.314280821,0.03512147206,0.3102862178,0.1898738541,0.1647381703,0.02693671807,0.7110926142,0.7285899298,1.0,0.5654380201,0.5657654127,0.6289388916,0.7092565097,0.6339843427,0.02526758288,0.1199586433,0.3857190163,0.401781077,0.05920419297,0.2553539863,0.2507120796,0.2457219227,0.2422394432,0.3870273338,0.2640376984,1.0,1.0,0.0522294432,0.1406111811,0.2877960888,0.3337771682,0.1379759258,0.1161287899,0.0742226246,0.04927813044,0.4397491618,0.6130030987,0.2520399276,0.2707138532,0.2793653449,2433.358318,2624.625515,2590.804579,2617.812417,2493.217471,2727.643565,2607.689861,2706.109198,2679.310216,2819.73532,2700.612402,2746.874506,2676.526594,0
9,0.9676518283,0.8236978579,0.7460056807,0.7211948235,0.6562091729,0.3491307443,0.9455920417,0.2888357726,0.4891317823,0.170363399,0.6025001091,0.3414904883,0.5175856449,0.4087489693,0.5154721707,0.3662416262,0.4312845893,0.5533699719,0.1663031336,0.2303982564,0.1232194194,0.8714855145,0.2384619297,0.2166083663,0.1867369136,0.264808186,1.0,1.0,0.7474562227,0.8814599154,1.0,0.2905007804,0.686632432,0.2449047479,1.0,0.2104259287,0.450932807,0.346171614,0.5167098251,0.5818298578,0.5138395019,0.7776426031,0.9718816951,0.6869553185,0.6063398229,1.0,0.2279824743,0.3309318237,0.1836305414,0.5764540827,0.3175514163,0.5445417487,0.2914922407,0.3320262101,0.9867879467,1.0,0.5284832596,0.8003497389,0.8421271397,0.129733512,0.2483281274,0.2658275624,0.5607279721,0.32656586,0.7546865827,0.144268136,0.2619161651,1.0,0.8583541417,0.3699039986,0.5911629489,0.4873382075,0.06673064114,0.4879370587,0.6007483807,0.7132759591,0.3372328336,0.7965139135,0.09967763852,0.3794966835,0.6487071975,0.5011487264,0.1926765706,0.5808869986,0.3309103887,0.04362765994,0.8533779787,0.9500702235,0.8865746382,0.3303363345,0.5265301125,0.1064238615,0.6439183682,0.4067028073,0.2670478273,0.08971441323,0.8950689224,0.4428136751,0.1527918093,0.8528644364,1.0,0.9388518854,0.4332278034,0.4144772841,0.07282157807,0.5614208429,0.2224860392,0.1495408209,0.03942292963,1.0,0.7128473882,0.8551804129,0.7288275472,0.8905504878,1.0,0.4488854819,0.3303408637,0.03262122802,0.2771152534,0.2042138434,0.1743840652,0.02927844843,0.6579840196,0.6961209096,1.0,0.5294444292,0.5222469068,0.5813700666,0.821857606,0.7486256959,0.02535255843,0.1101896229,0.4134139491,0.4200070826,0.06454529151,0.2259086189,0.2141376117,0.2092577347,0.2636142847,0.4213678556,0.2606797427,1.0,1.0,0.06612566544,0.1551148205,0.2706002382,0.3083270197,0.1631020765,0.1156313518,0.07426513795,0.05297624471,0.4904957569,0.58711243,0.2455671767,0.2302044613,0.2420910854,2437.417028,2627.845891,2592.347856,2616.391547,2482.218441,2726.785296,2607.155718,2706.759693,2680.197583,2820.014575,2699.122099,2748.494132,2674.265882,0
